id,doi,PMID,DOID,DO label,internal factor name,factor type,sample type,cohort size,# of probes after quality control,array,abstract,keywords,summary of abstract,conclusion,journal,sjr
25,10.1186/s13148-021-01027-3,33622391,DOID:9352,type 2 diabetes mellitus,,,peripheral whole blood,"4 combined cohorts, 3428 total","368,208 autosomal probes",450K,"Background
Type 2 diabetes (T2D) is a heterogeneous disease with well-known genetic and environmental risk factors contributing to its prevalence. Epigenetic mechanisms related to changes in DNA methylation (DNAm), may also contribute to T2D risk, but larger studies are required to discover novel markers, and to confirm existing ones.

Results
We performed a large meta-analysis of individual epigenome-wide association studies (EWAS) of prevalent T2D conducted in four European studies using peripheral blood DNAm. Analysis of differentially methylated regions (DMR) was also undertaken, based on the meta-analysis results. We found three novel CpGs associated with prevalent T2D in Europeans at cg00144180 (HDAC4), cg16765088 (near SYNM) and cg24704287 (near MIR23A) and confirmed three CpGs previously identified (mapping to TXNIP, ABCG1 and CPT1A). We also identified 77 T2D associated DMRs, most of them hypomethylated in T2D cases versus controls. In adjusted regressions among diabetic-free participants in ALSPAC, we found that all six CpGs identified in the meta-EWAS were associated with white cell-types. We estimated that these six CpGs captured 11% of the variation in T2D, which was similar to the variation explained by the model including only the common risk factors of BMI, sex, age and smoking (R2 = 10.6%).

Conclusions
This study identifies novel loci associated with T2D in Europeans. We also demonstrate associations of the same loci with other traits. Future studies should investigate if our findings are generalizable in non-European populations, and potential roles of these epigenetic markers in T2D etiology or in determining long term consequences of T2D.",,"In a large meta-analysis examining the role of DNA methylation in Type 2 diabetes (T2D) using European samples, researchers identified three new CpGs associated with T2D at locations cg00144180 (HDAC4), cg16765088 (near SYNM), and cg24704287 (near MIR23A). They also confirmed three previously known CpGs linked to T2D, mapping to TXNIP, ABCG1, and CPT1A. Alongside these individual CpGs, the study discovered 77 T2D-associated differentially methylated regions (DMRs), with most showing reduced methylation in T2D cases compared to controls.",,Clinical Epigenetics,2.014
26,10.1038/s41598-021-99836-2,34650136,DOID:0081057,gestational diabetes insipidus,,,venous whole blood,890 pregnant women,"29 target fragments, containing 337 CpG sites","MethylTarget sequencing (Genesky Biotechnologies Inc. Shanghai, China)","Genome-wide DNA methylation profiling have been used to find maternal CpG sites related to the occurrence of gestational diabetes mellitus (GDM). However, none of these differential sites found has been verified in a larger sample. Here, our aim was to evaluate whether first trimester changes in target CpG sites in the peripheral blood of pregnancy women predict subsequent development of GDM. This nested case–control study was based upon an early pregnancy follow-up cohort (ChiCTR1900020652). Target CpG sites were extracted from related published literature and bioinformatics analysis. The DNA methylation levels at 337 CpG sites of 80 GDM cases and 80 matched healthy controls during the early pregnancy (10–15 weeks) were assessed using MethylTarget sequencing. The best cut-off level for methylation of CpG site was determined using the generated ROC curve. The independent effect of CpG site methylation status on GDM was analyzed using conditional logistic regression. Methylation levels at 6 CpG sites were significantly higher in the GDM group than in controls, whereas those at another 6 CpG sites were significantly lower (FDR < 0.05). The area under the ROC curve at each methylation level of the significant CpG sites ranged between 0.593 and 0.650 for the occurrence of GDM. After adjusting for possible confounders, the hypermethylation status of CpG site 68167324 (OR = 3.168, 1.038–9.666) and 24837915 (OR = 5.232, 1.659–16.506) was identified as more strongly associated with GDM; meanwhile, the hypermethylation of CpG site 157130156 (OR = 0.361, 0.135–0.966) and 89438648 (OR = 0.206, 0.065–0.655) might indicate lower risk of GDM. The methylation status of target CpG sites in the peripheral blood of pregnant women during the first trimester may be associated with GDM pathogenesis, and has potential as a predictor of GDM.",,"During early pregnancy, researchers analyzed DNA methylation levels at 337 CpG sites to determine any correlation with gestational diabetes mellitus (GDM). Methylation levels at 12 CpG sites showed significant differences between GDM cases and controls, with CpG sites 68167324 and 24837915 being strongly associated with a higher risk of GDM, and CpG sites 157130156 and 89438648 indicating a lower risk. This suggests that methylation status of specific CpG sites in the first trimester might predict the onset of GDM.",,Scientific Reports,0.973
27,10.1080/15592294.2019.1603962,31033411,,,inflammation,disease,blood,"127 participants (254 samples) with CRP and methylation data, and 118 participants (236 samples) with CRP, methylation, and proteomic data",n/a,EPIC,"DNA methylation in blood may adapt to conditions affecting our health, such as inflammation, and multiple studies have identified differential DNA methylation related to smoking, obesity and various diseases. The purpose of this study was to evaluate previously reported, and explore possible new, associations between levels of inflammatory markers and DNA methylation in blood. We used a well-characterized study population consisting of 127 individuals, all of whom were participants in the population-based Västerbotten Intervention Programme cohort and had provided two blood samples, ten years apart. Levels of CRP and 160 other proteins were measured in plasma, and DNA methylation levels (assessed using the 850K Illumina Infinium MethylationEPIC BeadChip) were measured in white blood cell DNA. Associations between CpG methylation and protein levels were estimated using linear mixed models. In the study we were able to confirm the direction for 85 of 102 previously reported protein-methylation associations. Depicting associations in a network allowed us to identify CpG sites with associations to multiple proteins, and ten CpG sites were each associated with three or more inflammatory markers. Furthermore, two genetic regions included nine additional unreported CpG sites that may represent trans-acting methylation sites. Our study supports a complex interaction between DNA methylation and circulating proteins involved in the inflammatory response. The notion of trans-acting methylation sites affecting, or being affected by, the expression of genes on completely different chromosomes should be taken into account when interpreting results from epigenome-wide association studies.",DNA methylation; inflammation; biomarkers; C - reactive protein; colorectal cancer; risk factors; epigenetics; proteomics,"In a study of 127 individuals from the Västerbotten Intervention Programme cohort, associations between inflammatory markers and DNA methylation in blood were explored using the 850K Illumina Infinium MethylationEPIC BeadChip. The research confirmed 85 of 102 previously reported protein-methylation associations and identified ten CpG sites linked to three or more inflammatory markers. Moreover, two genetic regions featured nine previously unreported CpG sites, potentially indicating trans-acting methylation sites, suggesting intricate interactions between DNA methylation and inflammatory proteins.",,Epigenetics,1.408
28,10.1186/s13059-016-1119-5,27955697,,,inflammation,disease,whole blood,"8863 (EA), 4111 (AA)","434,253 probes","450K
(But GENOA used 27K)","Background
Chronic low-grade inflammation reflects a subclinical immune response implicated in the pathogenesis of complex diseases. Identifying genetic loci where DNA methylation is associated with chronic low-grade inflammation may reveal novel pathways or therapeutic targets for inflammation.

Results
We performed a meta-analysis of epigenome-wide association studies (EWAS) of serum C-reactive protein (CRP), which is a sensitive marker of low-grade inflammation, in a large European population (n = 8863) and trans-ethnic replication in African Americans (n = 4111). We found differential methylation at 218 CpG sites to be associated with CRP (P < 1.15 × 10–7) in the discovery panel of European ancestry and replicated (P < 2.29 × 10–4) 58 CpG sites (45 unique loci) among African Americans. To further characterize the molecular and clinical relevance of the findings, we examined the association with gene expression, genetic sequence variants, and clinical outcomes. DNA methylation at nine (16%) CpG sites was associated with whole blood gene expression in cis (P < 8.47 × 10–5), ten (17%) CpG sites were associated with a nearby genetic variant (P < 2.50 × 10–3), and 51 (88%) were also associated with at least one related cardiometabolic entity (P < 9.58 × 10–5). An additive weighted score of replicated CpG sites accounted for up to 6% inter-individual variation (R2) of age-adjusted and sex-adjusted CRP, independent of known CRP-related genetic variants.

Conclusion
We have completed an EWAS of chronic low-grade inflammation and identified many novel genetic loci underlying inflammation that may serve as targets for the development of novel therapeutic interventions for inflammation.",,"In a large study analyzing chronic low-grade inflammation, researchers conducted a meta-analysis of epigenome-wide association studies on serum C-reactive protein (CRP) in European (n=8863) and African American (n=4111) populations. They identified differential methylation at 218 CpG sites associated with CRP in Europeans, with 58 of these sites (45 unique loci) replicating in African Americans. Notably, DNA methylation at nine of these CpG sites was linked to blood gene expression, ten were associated with nearby genetic variants, and 51 were connected to related cardiometabolic outcomes.",,Genome Biology,9.249
29,10.1212/WNL.0000000000012997,34789543,,,inflammation,disease,whole blood,521,n/a,EPIC,"Background and Objectives To investigate chronic inflammation in relation to cognitive aging by comparison of an epigenetic and serum biomarker of C-reactive protein and their associations with neuroimaging and cognitive outcomes.

Methods At baseline, participants (n = 521) were cognitively normal, around 73 years of age (mean 72.4, SD 0.716), and had inflammation, vascular risk (cardiovascular disease history, hypertension, diabetes, smoking, alcohol consumption, body mass index), and neuroimaging (structural and diffusion MRI) data available. Baseline inflammatory status was quantified by a traditional measure of peripheral inflammation—serum C-reactive protein (CRP)—and an epigenetic measure (DNA methylation [DNAm] signature of CRP). Linear models were used to examine the inflammation–brain health associations; mediation analyses were performed to interrogate the relationship between chronic inflammation, brain structure, and cognitive functioning.

Results We demonstrate that DNAm CRP shows significantly (on average 6.4-fold) stronger associations with brain health outcomes than serum CRP. DNAm CRP is associated with total brain volume (β = −0.197, 95% confidence interval [CI] −0.28 to −0.12, pFDR = 8.42 × 10−6), gray matter volume (β = −0.200, 95% CI −0.28 to −0.12, pFDR = 1.66 × 10−5), and white matter volume (β = −0.150, 95% CI −0.23 to −0.07, pFDR = 0.001) and regional brain atrophy. We also find that DNAm CRP has an inverse association with global and domain-specific (speed, visuospatial, and memory) cognitive functioning and that brain structure partially mediates this CRP–cognitive association (up to 29.7%), dependent on lifestyle and health factors.

Discussion These results support the hypothesis that chronic inflammation may contribute to neurodegenerative brain changes that underlie differences in cognitive ability in later life and highlight the potential of DNAm proxies for indexing chronic inflammatory status.

Classification of Evidence This study provides Class II evidence that a DNAm signature of CRP levels is more strongly associated with brain health outcomes than serum CRP levels.",,"In a study involving 521 cognitively normal participants aged around 73, researchers compared the relationships of serum C-reactive protein (CRP) and its DNA methylation (DNAm) signature with brain health and cognitive outcomes. The DNAm CRP showed a significantly stronger association (6.4-fold on average) with brain health metrics, including total brain volume, gray matter volume, and white matter volume, and was also inversely linked to various cognitive functions. The findings support the idea that chronic inflammation may contribute to neurodegenerative changes in the brain, emphasizing the potential of DNAm proxies for chronic inflammatory status assessment.",,Neurology,2.537
30,10.1007/s13105-017-0552-6,28181167,,,diet,lifestyle,peripheral whole blood,36,n/a,450K,"Epigenetic processes, including DNA methylation, might be modulated by environmental factors such as the diet, which in turn have been associated with the onset of several diseases such as obesity or cardiovascular events. Meanwhile, Mediterranean diet (MedDiet) has demonstrated favourable effects on cardiovascular risk, blood pressure, inflammation and other complications related to excessive adiposity. Some of these effects could be mediated by epigenetic modifications. Therefore, the objective of this study was to investigate whether the adherence to MedDiet is associated with changes in the methylation status from peripheral blood cells. A subset of 36 individuals was selected within the Prevención con Dieta Mediterránea (PREDIMED)-Navarra study, a randomised, controlled, parallel trial with three groups of intervention in high cardiovascular risk volunteers, two with a MedDiet and one low-fat control group. Changes in methylation between baseline and 5 years were studied. DNA methylation arrays were analysed by several robust statistical tests and functional classifications. Eight genes related to inflammation and immunocompetence (EEF2, COL18A1, IL4I1, LEPR, PLAGL1, IFRD1, MAPKAPK2, PPARGC1B) were finally selected as changes in their methylation levels correlated with adherence to MedDiet and because they presented sensitivity related to a high variability in methylation changes. Additionally, EEF2 methylation levels positively correlated with concentrations of TNF-α and CRP. This report is apparently the first showing that adherence to MedDiet is associated with the methylation of the reported genes related to inflammation with a potential regulatory impact.",,"Adherence to the Mediterranean diet (MedDiet) was studied for its association with changes in DNA methylation status in peripheral blood cells among 36 individuals from the PREDIMED-Navarra study. Eight genes tied to inflammation and immunocompetence (EEF2, COL18A1, IL4I1, LEPR, PLAGL1, IFRD1, MAPKAPK2, PPARGC1B) showed changes in methylation levels that correlated with adherence to the MedDiet. Particularly, EEF2 methylation levels were found to positively correlate with TNF-α and CRP concentrations, marking this as a groundbreaking report linking MedDiet adherence with methylation of specific genes related to inflammation.",,Journal of Physiology and Biochemistry ,0.845
31,10.1053/j.gastro.2019.01.270,30779925,DOID:8778,Crohn's disease,,,peripheral whole blood,238,"636,006 high-quality SNPs",EPIC,"Background & Aims
Crohn's disease is a relapsing and remitting inflammatory disorder with a variable clinical course. Although most patients present with an inflammatory phenotype (B1), approximately 20% of patients rapidly progress to complicated disease, which includes stricturing (B2), within 5 years. We analyzed DNA methylation patterns in blood samples of pediatric patients with Crohn's disease at diagnosis and later time points to identify changes that associate with and might contribute to disease development and progression.

Methods
We obtained blood samples from 164 pediatric patients (1–17 years old) with Crohn's disease (B1 or B2) who participated in a North American study and were followed for 5 years. Participants without intestinal inflammation or symptoms served as controls (n = 74). DNA methylation patterns were analyzed in samples collected at time of diagnosis and 1–3 years later at approximately 850,000 sites. We used genetic association and the concept of Mendelian randomization to identify changes in DNA methylation patterns that might contribute to the development of or result from Crohn's disease.

Results
We identified 1189 5′-cytosine–phosphate–guanosine-3′ (CpG) sites that were differentially methylated between patients with Crohn's disease (at diagnosis) and controls. Methylation changes at these sites correlated with plasma levels of C-reactive protein. A comparison of methylation profiles of DNA collected at diagnosis of Crohn's disease vs during the follow-up period showed that, during treatment, alterations identified in methylation profiles at the time of diagnosis of Crohn's disease more closely resembled patterns observed in controls, irrespective of disease progression to B2. We identified methylation changes at 3 CpG sites that might contribute to the development of Crohn's disease. Most CpG methylation changes associated with Crohn's disease disappeared with treatment of inflammation and might be a result of Crohn's disease.

Conclusions
Methylation patterns observed in blood samples from patients with Crohn's disease accompany acute inflammation; with treatment, these change to resemble methylation patterns observed in patients without intestinal inflammation. These findings indicate that Crohn's disease–associated patterns of DNA methylation observed in blood samples are a result of the inflammatory features of the disease and are less likely to contribute to disease development or progression.",,"In a study analyzing DNA methylation patterns in pediatric Crohn's disease patients, 1189 differentially methylated 5′-cytosine–phosphate–guanosine-3′ (CpG) sites were identified between patients at diagnosis and controls. These changes correlated with plasma levels of C-reactive protein. Notably, methylation patterns in Crohn's disease patients were mainly a result of the inflammatory nature of the disease, as treatment led these patterns to resemble those in patients without intestinal inflammation, suggesting that these methylation changes are less likely to contribute to disease onset or progression.",,Gastroenterology,7.645
32,10.1038/s41525-021-00213-9,34117263,DOID:1287,cardiovascular system disease,,,blood,736,"429,459 CpG sites",450K,"Molecular mechanisms at the intersection of inflammation and cardiovascular diseases (CVD) among Africans are still unknown. We performed an epigenome-wide association study to identify loci associated with serum C-reactive protein (marker of inflammation) among Ghanaians and further assessed whether differentially methylated positions (DMPs) were linked to CVD in previous reports, or to estimated CVD risk in the same population. We used the Illumina Infinium® HumanMethylation450 BeadChip to obtain DNAm profiles of blood samples in 589 Ghanaians from the RODAM study (without acute infections, not taking anti-inflammatory medications, CRP levels < 40 mg/L). We then used linear models to identify DMPs associated with CRP concentrations. Post-hoc, we evaluated associations of identified DMPs with elevated CVD risk estimated via ASCVD risk score. We also performed subset analyses at CRP levels ≤10 mg/L and replication analyses on candidate probes. Finally, we assessed for biological relevance of our findings in public databases. We subsequently identified 14 novel DMPs associated with CRP. In post-hoc evaluations, we found that DMPs in PC, BTG4 and PADI1 showed trends of associations with estimated CVD risk, we identified a separate DMP in MORC2 that was associated with CRP levels ≤10 mg/L, and we successfully replicated 65 (24%) of previously reported DMPs. All DMPs with gene annotations (13) were biologically linked to inflammation or CVD traits. We have identified epigenetic loci that may play a role in the intersection between inflammation and CVD among Ghanaians. Further studies among other Africans are needed to confirm our findings.",,"In a study of 589 Ghanaians, 14 novel differentially methylated positions (DMPs) were identified to be associated with serum C-reactive protein, a marker of inflammation. Post-hoc analysis revealed that DMPs in genes PC, BTG4, and PADI1 exhibited potential links with estimated cardiovascular disease (CVD) risk, and a separate DMP in MORC2 was associated with lower CRP levels. Notably, 13 annotated DMPs were biologically connected to inflammation or CVD traits, highlighting the intersection of inflammation and CVD among Ghanaians.",,npj Genomic Medicine,2.093
33,10.3390/nu10040455,29642382,,,diet,lifestyle,cord blood serum,60,"771,484 CpG sites",EPIC,"The epigenetic profile of the developing fetus is sensitive to environmental influence. Maternal diet has been shown to influence DNA methylation patterns in offspring, but research in humans is limited. We investigated the impact of a low glycaemic index dietary intervention during pregnancy on offspring DNA methylation patterns using a genome-wide methylation approach. Sixty neonates were selected from the ROLO (Randomised cOntrol trial of LOw glycaemic index diet to prevent macrosomia) study: 30 neonates from the low glycaemic index intervention arm and 30 from the control, whose mothers received no specific dietary advice. DNA methylation was investigated in 771,484 CpG sites in free DNA from cord blood serum. Principal component analysis and linear regression were carried out comparing the intervention and control groups. Gene clustering and pathway analysis were also explored. Widespread variation was identified in the newborns exposed to the dietary intervention, accounting for 11% of the total level of DNA methylation variation within the dataset. No association was found with maternal early-pregnancy body mass index (BMI), infant sex, or birthweight. Pathway analysis identified common influences of the intervention on gene clusters plausibly linked to pathways targeted by the intervention, including cardiac and immune functioning. Analysis in 60 additional samples from the ROLO study failed to replicate the original findings. Using a modest-sized discovery sample, we identified preliminary evidence of differential methylation in progeny of mothers exposed to a dietary intervention during pregnancy.",epigenetics; DNA methylation; programming; methylome; fetus; pregnancy; intervention; diet; glycaemic index,"During a study examining the influence of a low glycaemic index dietary intervention during pregnancy on offspring DNA methylation patterns, widespread variation in DNA methylation was identified in the newborns exposed to the dietary intervention, accounting for 11% of the total variation. This variation did not associate with maternal early-pregnancy BMI, infant sex, or birthweight. While initial findings indicated the intervention influenced gene clusters related to cardiac and immune functioning, analysis in 60 additional samples did not replicate these results.",,Nutrients,1.291
34,10.1007/s00394-018-1750-x,29948221,,,weight loss,lifestyle,white blood cells,47,n/a,450K,"Purpose
The interindividual variable response to weight-loss treatments requires the search for new predictive biomarkers for improving the success of weight-loss programs. The aim of this study is to identify novel genes that distinguish individual responses to a weight-loss dietary treatment by using the integrative analysis of mRNA expression and DNA methylation arrays.

Methods
Subjects from Metabolic Syndrome Reduction in Navarra (RESMENA) project were classified as low (LR) or high (HR) responders depending on their weight loss. Transcriptomic (n = 24) and epigenomic (n = 47) patterns were determined by array-based genome-wide technologies in human white blood cells at the baseline of the treatment period. CD44 expression was validated by qRT-PCR and methylation degree of CpGs of the gene was validated by MassARRAY® EpiTYPER™ in a subsample of 47 subjects. CD44 protein levels were measured by ELISA in human plasma.

Results
Different expression and DNA methylation profiles were identified in LR in comparison to HR. The integrative analysis of both array data identified four genes: CD44, ITPR1, MTSS1 and FBXW5 that were differently methylated and expressed between groups. CD44 showed higher expression and lower DNA methylation levels in LR than in HR. Although differences in CD44 protein levels between LR and HR were not statistically significant, a positive association was observed between CD44 mRNA expression and protein levels.

Conclusions
In summary, the combination of a genome-wide methylation and expression array dataset can be a useful strategy to identify novel genes that might be considered as predictors of the dietary response. CD44 gene transcription and methylation may be a possible candidate biomarker for weight-loss prediction.",,"In a study aimed at finding predictive biomarkers for weight-loss program success, subjects from the RESMENA project were categorized based on their weight loss responses. Integrative analysis of mRNA expression and DNA methylation identified differences between low and high responders, particularly highlighting four genes: CD44, ITPR1, MTSS1, and FBXW5. Notably, the CD44 gene displayed higher expression and lower DNA methylation in low responders than in high responders, suggesting its potential as a weight-loss prediction biomarker.",,European Journal of Nutrition,1.094
35,10.1111/dom.13333,29693310,,,weight loss,lifestyle,blood,692,n/a,450K,"DNA Methylation of NFATC2IP was recently identified as being causally related to body mass index. The present study aimed to examine the roles of the genetic variation, methylation and gene expression at this locus in adiposity changes in a 2-year weight-loss trial. Participants (n = 692) were genotyped and randomly assigned to 1 of the 4 reduced-calorie diets, DNA methylation was derived from stored blood samples at baseline (n = 48), and adipose tissue gene expression was measured in 96 volunteers. We found significant interactions of fat intake with the genetic (rs11150675) and transcriptional (ILMN_1725441) variations at the NFATC2IP locus on 2-year weight change (Pinteraction < .01). Similarly, cis-DNA methylation at cg26663590 of the NFATC2IP locus showed an opposite impact on weight-loss in response to high-fat vs low-fat diet (effect size, 4.62 vs −1.24 kg). Additionally, baseline methylation at cg26663590 causally mediated 52.8% of the effect of rs11150675 on 2-year weight-loss in the high-fat diet group (P = .01), whereas no such mediation was observed in the low-fat diet group. Our findings suggest potentially causal effects of genetic, epigenetic and transcriptional variations at the NFATC2IP locus on adiposity changes in response to dietary fat intake.",,"In a 2-year weight-loss trial involving 692 participants, the study found that both genetic variation (rs11150675) and transcriptional variation (ILMN_1725441) at the NFATC2IP locus interacted significantly with fat intake to influence weight changes. The cis-DNA methylation at cg26663590 of the NFATC2IP locus had contrasting effects on weight loss in high-fat versus low-fat diets, mediating 52.8% of the effect of rs11150675 on weight loss in the high-fat diet group. These results highlight the potential causal influence of genetic, epigenetic, and transcriptional variations at the NFATC2IP locus on adiposity changes tied to dietary fat intake.",,"Diabetes, Obesity and Metabolism",2.048
36,10.1093/jnci/djz065,30989176,DOID:1612,breast cancer,,,blood,"2443 (1552 cases, 1224 subcohort)",n/a,450K,"Background
Peripheral blood DNA methylation may be associated with breast cancer, but studies of candidate genes and global and genome-wide DNA methylation have been inconsistent.

Methods
We performed an epigenome-wide study using Infinium HumanMethylation450 BeadChips with prospectively collected blood DNA samples from the Sister Study (1552 cases, 1224 subcohort). Differentially methylated cytosine-phosphate-guanine sites (dmCpGs) were identified using case-cohort proportional hazard models and replicated using deposited data from European Prospective Investigation into Cancer and Nutrition in Italy (EPIC-Italy) (n = 329). The correlation between methylation and time to diagnosis was examined using robust linear regression. Causal or consequential relationships of methylation to breast cancer were examined by Mendelian randomization using OncoArray 500 K single-nucleotide polymorphism data. All statistical tests were two-sided.

Results
We identified 9601 CpG markers associated with invasive breast cancer (false discovery rate = q < 0.01), with 510 meeting a strict Bonferroni correction threshold (10–7). A total of 2095 of these CpGs replicated in the independent EPIC-Italy dataset, including 144 meeting the Bonferroni threshold. Sister Study women who developed ductal carcinoma in situ had methylation similar to noncases. Most (1501, 71.6%) dmCpGs showed lower methylation in invasive cases. In case-only analysis, methylation was statistically significantly associated (false discovery rate = q < 0.05) with time to diagnosis for 892 (42.6%) of the dmCpGs. Analyses based on genetic association suggest that methylation differences are likely a consequence rather than a cause of breast cancer. Pathway analysis shows enrichment of breast cancer-related gene pathways, and dmCpGs are overrepresented in known breast cancer susceptibility genes.

Conclusions
Our findings suggest that the DNA methylation profile of blood starts to change in response to invasive breast cancer years before the tumor is clinically detected.",cancer; ductal carcinoma in situ; cytosine; dna methylation; genes; genome; italy; methylation; phosphates; single nucleotide polymorphism; breast; diagnosis; neoplasms; breast cancer; datasets,"In a comprehensive study involving the Sister Study and EPIC-Italy datasets, researchers identified 9601 CpG markers linked with invasive breast cancer, of which 2095 were confirmed in the EPIC-Italy dataset. Most of these differentially methylated cytosine-phosphate-guanine sites (dmCpGs) displayed lower methylation in invasive cases, with methylation alterations likely being a result, not a precursor, of breast cancer. The methylation changes in blood appear to manifest years before the clinical detection of the tumor, emphasizing the potential role of DNA methylation in early cancer response.",,Journal of the National Cancer Institute,5.409
37,10.1186/s13148-021-01030-8,33632303,"DOID:75
DOID:74","lymphatic system disease
hematopoietic system disease",,,fasting whole blood,2324,"788,368 CpG sites",EPIC,"Background
Epigenetic alterations may contribute to early detection of cancer. We evaluated the association of blood DNA methylation with lymphatic–hematopoietic cancers and, for comparison, with solid cancers. We also evaluated the predictive ability of DNA methylation for lymphatic–hematopoietic cancers.

Methods
Blood DNA methylation was measured using the Illumina Infinium methylationEPIC array in 2324 Strong Heart Study participants (41.4% men, mean age 56 years). 788,368 CpG sites were available for differential DNA methylation analysis for lymphatic–hematopoietic, solid and overall cancers using elastic-net and Cox regression models. We conducted replication in an independent population: the Framingham Heart Study. We also analyzed differential variability and conducted bioinformatic analyses to assess for potential biological mechanisms.

Results
Over a follow-up of up to 28 years (mean 15), we identified 41 lymphatic–hematopoietic and 394 solid cancer cases. A total of 126 CpGs for lymphatic–hematopoietic cancers, 396 for solid cancers, and 414 for overall cancers were selected as predictors by the elastic-net model. For lymphatic–hematopoietic cancers, the predictive ability (C index) increased from 0.58 to 0.87 when adding these 126 CpGs to the risk factor model in the discovery set. The association was replicated with hazard ratios in the same direction in 28 CpGs in the Framingham Heart Study. When considering the association of variability, rather than mean differences, we found 432 differentially variable regions for lymphatic–hematopoietic cancers.

Conclusions
This study suggests that differential methylation and differential variability in blood DNA methylation are associated with lymphatic–hematopoietic cancer risk. DNA methylation data may contribute to early detection of lymphatic–hematopoietic cancers.",,"Over a 28-year follow-up in the Strong Heart Study, researchers identified differential methylation in 126 CpGs linked to lymphatic–hematopoietic cancers and 396 CpGs associated with solid cancers. When these 126 CpGs were added to a risk factor model, the predictive ability for lymphatic–hematopoietic cancers increased significantly, with 28 of these CpGs replicating their findings in the Framingham Heart Study. The study concludes that variations in blood DNA methylation might be pivotal for early detection of lymphatic–hematopoietic cancers.",,Clinical Epigenetics,2.014
38,10.1186/s13073-021-00875-1,33823916,,,"chemotherapy
radiation therapy",intervention,blood,2052,"686,880 probes",EPIC,"Background
It is well-established that cancer treatment substantially increases the risk of long-term adverse health outcomes among childhood cancer survivors. However, there is limited research on the underlying mechanisms. To elucidate the pathophysiology and a possible causal pathway from treatment exposures to cardiometabolic conditions, we conducted epigenome-wide association studies (EWAS) to identify the DNA methylation (DNAm) sites associated with cancer treatment exposures and examined whether treatment-associated DNAm sites mediate associations between specific treatments and cardiometabolic conditions.

Methods
We included 2052 survivors (median age 33.7 years) of European ancestry from the St. Jude Lifetime Cohort Study, a retrospective hospital-based study with prospective clinical follow-up. Cumulative doses of chemotherapy and region-specific radiation were abstracted from medical records. Seven cardiometabolic conditions were clinically assessed. DNAm profile was measured using MethylationEPIC BeadChip with blood-derived DNA.

Results
By performing multiple treatment-specific EWAS, we identified 935 5′-cytosine-phosphate-guanine-3′ (CpG) sites mapped to 538 genes/regions associated with one or more cancer treatments at the epigenome-wide significance level (p < 9 × 10−8). Among the treatment-associated CpGs, 8 were associated with obesity, 63 with hypercholesterolemia, and 17 with hypertriglyceridemia (false discovery rate-adjusted p < 0.05). We observed substantial mediation by methylation at four independent CpGs (cg06963130, cg21922478, cg22976567, cg07403981) for the association between abdominal field radiotherapy (abdominal-RT) and risk of hypercholesterolemia (70.3%) and by methylation at three CpGs (cg19634849, cg13552692, cg09853238) for the association between abdominal-RT and hypertriglyceridemia (54.6%). In addition, three CpGs (cg26572901, cg12715065, cg21163477) partially mediated the association between brain-RT and obesity with a 32.9% mediation effect, and two CpGs mediated the association between corticosteroids and obesity (cg22351187, 14.2%) and between brain-RT and hypertriglyceridemia (cg13360224, 10.5%). Notably, several mediator CpGs reside in the proximity of well-established dyslipidemia genes: cg21922478 (ITGA1) and cg22976567 (LMNA).

Conclusions
In childhood cancer survivors, cancer treatment exposures are associated with DNAm patterns present decades following the exposure. Treatment-associated DNAm sites may mediate the causal pathway from specific treatment exposures to certain cardiometabolic conditions, suggesting the utility of DNAm sites as risk predictors and potential mechanistic targets for future intervention studies.",,"In a study involving 2,052 childhood cancer survivors, researchers identified 935 CpG sites (related to 538 genes/regions) linked with cancer treatments. Methylation at specific CpGs like cg06963130, cg21922478, cg22976567, cg07403981 was found to mediate the risk of hypercholesterolemia due to abdominal field radiotherapy, and some CpGs, such as cg21922478 (ITGA1) and cg22976567 (LMNA), were near known dyslipidemia genes. These findings suggest that cancer treatment exposures in childhood can influence DNA methylation patterns that may mediate the risk of cardiometabolic conditions later in life.",,Genome Medicine,4.851
